HiringManager;Experience;UniversityReputation;GPA;Gender;JobPosition;RANDOM;Salary
G;6.345991549542253;2;2.486834368472894;female;services;0.6865512129092362;32310.29806371089
A;7.531537769634429;5;2.635256127150262;other;HR;0.3228504920822579;50921.89769514517
C;3.828449680172344;1;2.8963090529573288;female;HR;0.33562868950023406;29426.991832154246
G;2.734549859587272;3;3.1026060399423274;female;services;0.17209125976960693;30623.519864914604
C;8.778432932250642;5;2.7657221865903576;female;sales;0.8975092862562963;47866.030834864905
A;14.656383668008363;1;2.1712589556873834;male;sales;0.767374042073379;50483.956456487154
E;8.09324585356706;2;2.8835276193335218;female;services;0.49990105737477797;32768.513834848454
G;2.9953664396046094;1;2.9804080973630955;female;sales;0.6849893348567403;26496.62471779666
D;10.54238012978803;3;2.77778899910357;male;services;0.3645445978208761;41941.59281369014
F;4.903208497078508;5;2.79577445972184;male;management;0.6051363238933994;63545.67428531986
B;7.11490755746412;1;3.2792419896189537;male;services;0.18382972845152135;29876.44062027537
F;3.8714908082559294;3;2.6963914476817217;female;technician;0.17123667137514087;35586.46816133503
G;14.510890004089665;1;2.573129961860286;male;sales;0.5899465507529602;40383.070202826406
A;9.665183560183205;3;2.609311365900138;female;sales;0.012536310706297016;50450.370223425554
A;11.452768138549342;1;2.91685382759613;female;sales;0.5123818527432615;45174.04687777052
G;11.508586147625259;4;3.7732970613165002;male;HR;0.5846631670550949;46554.24059564078
D;6.715940308381475;2;2.9406623109451484;female;services;0.981128398078428;36009.65288432887
D;5.952235001022833;1;2.486733674709143;female;technician;0.5789134349272183;30554.137781649493
B;7.991672626483968;2;2.9071480810166523;male;sales;0.42834268251070706;39516.88042546031
D;5.256309614954038;1;3.4720561861746297;female;HR;0.7507829081419999;29877.86098903873
A;10.34258723327473;2;2.197948583176088;male;management;0.7055879363151262;64786.916816109864
B;10.326780264367992;2;3.143560305010938;male;management;0.20067007921627122;57500.865610215944
G;9.92994685848669;4;2.303994855217148;female;HR;0.899525033975856;41063.14703321754
B;8.307861748141972;4;2.049918316138145;female;HR;0.6044018871076128;38945.67960278927
A;7.622171973074305;2;2.75555018067487;male;sales;0.7580699387845683;43649.6588475185
E;6.064817734685564;4;3.3954615873625786;female;sales;0.6846336311357712;43459.53970699654
A;9.035567478925003;4;1.995851784577926;other;HR;0.2054214886851723;48270.01338886727
E;9.189245107385414;2;2.7707247468023626;male;sales;0.45558476048566987;37314.94032561223
B;12.743500853317371;4;2.5920309935863437;male;sales;0.5143507572300294;49542.07565886873
D;10.140076173643365;2;2.4797348660142498;male;technician;0.8968037462340013;36646.156001154035
E;5.920587737559284;1;2.9108491646719097;female;services;0.9087962469829017;30954.340038151262
F;10.938717043145578;5;3.682942851311987;male;technician;0.6866299974743224;51758.73745316476
D;10.51323487771885;3;2.7835070287436623;male;services;0.9275800382678259;42767.22664315403
F;6.759248386827403;3;3.8798307898218263;female;sales;0.7230921067802752;41710.50780082897
D;12.920302221690497;5;3.961888457580996;male;technician;0.2048229328679706;55767.92568805899
E;5.263414878557785;1;2.4720986123260955;male;technician;0.9067386597530379;34492.99516460161
F;5.520155093077429;4;2.8583307621168457;female;HR;0.31131813923044493;37367.650904993745
D;11.899532602774496;3;3.3687413681023846;male;services;0.019244490850019447;40416.07558461031
F;8.195066494004143;5;2.5356969873888544;female;sales;0.556971359627166;46576.684592912854
D;6.233024020768422;5;3.264453673382609;female;services;0.7794807922919661;45677.85737637062
E;0.0;5;2.8233998118619077;female;technician;0.24842826188196943;38939.716435600734
A;9.629479890415976;5;2.634947065276496;male;HR;0.1906769938991667;54211.44750647179
C;10.659850150075028;4;2.7688255304357114;male;technician;0.7066465214102512;48212.40690860203
G;7.3587400660213405;2;1.998615806005101;male;technician;0.9073296217433106;31437.361885325558
G;4.066495353676235;1;3.8708723426591094;female;services;0.2740946937864085;27064.448134496353
F;5.938370844054758;3;2.829324237371477;female;services;0.9722526905039991;34278.96946544834
D;9.52682238734853;3;2.9504900066581436;other;technician;0.058548896912905546;45813.08991106272
C;10.628521683162022;5;2.277390045837646;male;services;0.31444567505899723;45082.52201744999
E;9.390894793233814;5;3.109316549475965;male;services;0.690685693055231;44999.005652754386
C;11.07625079898372;5;4.0;other;services;0.6934795622949732;48205.70598943762
C;8.925664706214384;1;2.8469299821878096;other;HR;0.4660718976016587;33354.04310912139
D;10.498790356893572;4;2.7350164128450944;female;technician;0.6578727989718559;48010.31331037863
E;10.772396059114884;4;3.251117368056104;male;sales;0.6113350752353048;50341.301181640876
D;5.6872581428567;2;1.6964017468579964;female;sales;0.47193134147810445;33252.92227943578
B;7.801721317135552;1;2.607655992524751;other;services;0.39649893933444214;49461.95342974601
G;7.478738340716031;1;2.5732364629165;female;services;0.472638244096626;31741.31540372145
E;11.465354314500708;1;2.279485214305316;female;HR;0.7502274319640689;36832.77985278752
D;8.525337253367928;3;3.1902811373954703;male;services;0.4598391100263116;37705.77123062452
F;5.158602916882932;2;2.9205797379700265;female;services;0.4579528133243136;30737.761897570657
B;7.968566126509904;1;2.5261382456741726;other;services;0.264224697741537;54629.02379907834
E;13.792717230828426;2;3.5663784557515514;female;sales;0.8339354165581896;45893.57317471647
F;10.699355351229167;4;3.8199234378923914;male;HR;0.8342264361884817;46237.536195376226
B;9.208505642896155;1;2.7966519846859272;male;HR;0.9946724185897765;34186.30862584189
F;13.14203088598899;2;2.1867942384894903;male;technician;0.5809532826435042;41643.477375092734
D;0.0;1;3.492352942584915;female;sales;0.42157168352340313;26242.950375055123
F;9.81794276472523;3;3.1489983073774646;female;HR;0.9927972125380699;44607.37452533534
D;6.487224154035625;1;3.023484124181144;male;technician;0.2722771726077927;33940.19746864807
A;10.443763132948853;2;3.419322963414834;male;HR;0.175488048690445;49849.22758306101
D;4.381839409487874;2;2.92285835449058;female;services;0.6841336250144976;33445.42692314995
C;4.020062355575201;2;3.51039173752418;female;services;0.5953329209781764;29727.962876238336
B;9.43643697069501;1;2.809002057689037;other;management;0.8928694714333514;68720.09492964619
F;8.709488764614457;3;2.2274126147820787;male;management;0.6336216754457911;56296.751173497025
G;15.603041638436682;3;3.297561299593495;other;HR;0.7080671751678921;47566.95520628835
E;7.131560261701734;2;3.243948913179726;female;HR;0.843245478157844;38236.27263095724
G;10.97378083349636;2;2.947670525753189;female;sales;0.5191006592561169;39785.596463093694
C;10.301907812896443;1;3.3620247991953045;female;services;0.7707995059250223;34745.14972638632
D;9.26005220462715;2;3.8085515371623173;other;technician;0.6372723452350847;42161.293529776856
D;5.805905103901132;5;3.4451680489050434;other;HR;0.8298336050657051;43884.90483790598
C;6.62209781490705;5;3.462631341532376;female;HR;0.7156652062876823;47403.25445198246
G;10.774609036788883;1;4.0;female;HR;0.10105613364768207;39379.27992502763
E;2.963442069351757;2;2.3682964968783278;female;technician;0.9799239283149734;30735.3558833373
F;15.428799730065911;5;2.2587739189506792;other;management;0.5602898266666007;76500.95435056406
C;10.727434483367416;3;3.3434688841484874;male;HR;0.6782732149234829;41064.80289468978
A;9.734515891673382;4;3.3472731068437973;male;services;0.13492434194656922;50970.471351276516
A;13.077046467684362;1;3.6637415142610132;male;services;0.20895165002913185;48103.51520621723
F;12.392276621161557;5;2.449354164150182;male;technician;0.23762860749742598;50252.34881027706
E;11.194110127540506;4;3.008983494956939;male;technician;0.9489890183456248;47439.145472075434
A;10.35860759924557;1;2.737736947534419;male;services;0.8330880490178922;38413.60239923254
D;9.073529526641188;1;3.6577911831087095;female;HR;0.4652780963644162;34081.82877788374
F;1.0282966422315036;2;2.7214435542789888;female;HR;0.006476587894606811;29057.853004849425
B;8.564080900171932;4;2.4124751616488314;male;sales;0.911329363783956;44762.31814350022
G;8.080740513575725;3;2.925922144941117;female;sales;0.864114370893819;44349.05014156345
A;12.941688098299444;5;3.521776533026312;female;sales;0.677034715261827;64442.660741638625
G;11.338481237509388;2;2.721800710963685;female;services;0.354424245120573;36943.42537307387
B;5.6806099528995535;3;2.7886200277786717;female;HR;0.32316057871592907;33979.60282225259
E;10.662122053266671;1;2.894347378929559;male;services;0.03754688155867769;34409.904155491335
B;6.785038877042158;3;3.1904582996253943;female;services;0.12099067774108196;37790.63599931232
E;9.579882957115338;5;3.711540364523678;female;services;0.7003448174492511;46866.93715595983
G;9.072548222562041;4;2.8091900114982646;male;services;0.3154544560691237;43609.48212492893
F;11.06214023866232;1;3.7292102973931733;other;management;0.14630941123489816;55187.468258253204
C;5.958437715592964;1;2.1416106087247218;female;sales;0.019205739267057043;28012.755390253307
B;9.612134645922584;1;2.30324851922706;male;HR;0.8765512994155128;32094.718344523786
D;8.062308932880162;5;3.1625855251387334;female;sales;0.7833354341639212;46532.7917969583
D;2.93364527106825;4;2.272955121364764;female;sales;0.8403038155306624;35806.67587296492
E;6.440775733612365;3;2.74316936716288;female;HR;0.0006420411512207957;35297.16164944903
C;9.217614482781558;4;1.3585076801271951;male;management;0.8519380076005509;57481.917785303136
E;4.779810957648245;5;3.425833036936998;female;services;0.141482670109636;41726.37041645373
A;9.038247897257017;3;2.7343469443181454;male;services;0.1599990253166913;43276.39685008978
A;9.610246758710364;2;2.9289478221599947;male;technician;0.30824915848644097;47644.938539444265
E;10.51948930889571;5;3.269288240669971;male;management;0.6550653485826604;70961.53374995949
E;9.929695524512551;5;3.2660358281111894;male;technician;0.2902273706115521;51655.91376086705
E;9.493118241922755;2;3.4584481672835454;male;technician;0.5152491500271555;43014.002525215124
D;10.000912267066273;1;2.7567379436148673;female;services;0.33312432739805575;35467.8770825923
D;13.833263961755822;4;2.4506517508634302;male;HR;0.1935105451961513;44703.44055860579
G;8.104988266895774;4;2.28806441946315;other;sales;0.2760960229270314;42905.61661773454
G;8.489865763196917;4;2.2330464165923933;female;HR;0.638444106874502;41394.54211787558
B;10.570957765739646;1;2.9026128018813404;male;services;0.8461144316822985;34827.41324443043
E;4.52056965544338;5;3.108209997065902;female;services;0.6993417739091081;39979.63532569697
G;11.25878518782486;2;3.256033963866407;male;technician;0.6217824734593036;41268.31651516878
C;8.838064046116289;2;2.7992972456495515;female;technician;0.9379686971902562;41113.234657287554
E;13.771024062809644;1;2.8854181694140526;male;HR;0.31237732104339566;37698.21286265808
D;7.515588517918564;2;2.860692008904189;other;technician;0.2631128539916552;36437.89931447778
A;4.912172611349719;4;2.4532794320025015;female;sales;0.6730037706550687;49047.89769647311
C;7.255824215070609;3;2.9898063065862956;male;technician;0.9281595190592773;40066.73736277818
A;6.770128641530081;1;3.575910845101256;female;sales;0.4041095496841074;41541.05528701175
G;7.419640400219725;4;3.0459608764829054;female;HR;0.4621005816226157;40411.65581718719
B;9.97447454978156;1;2.650715619328173;male;sales;0.6867826447590849;37702.7840319487
A;12.79155106955054;4;2.812118227154624;male;HR;0.728114597277701;56109.842576875795
G;5.915713988843132;2;3.3491105295417323;female;HR;0.8008808184503462;31288.02857609222
E;5.462213153914872;1;2.7531590092256035;male;services;0.6672497633412946;28928.61379833653
B;13.0222083234152;2;2.1920670593223;male;services;0.9948655838646677;40631.07278177095
E;6.7471288901308935;3;2.727058692260235;male;management;0.9271611830102934;53293.81343045216
B;8.925808876824235;2;2.7631079592478915;male;services;0.05470564828264801;35147.01499026993
E;7.5929654193832565;5;3.0985631014800497;female;technician;0.7300103102901647;48534.4051145178
E;10.734090547078688;5;2.392673102748748;male;sales;0.35968133279788095;49371.70873528203
B;10.289015620222047;1;2.9730285506497123;male;technician;0.920059396251297;36376.53786886558
C;7.775759882638754;2;2.875931670194095;female;services;0.5195199154785272;37830.05250100253
D;15.495241592704687;5;1.855354686263959;male;services;0.7970002771042041;49559.87822824658
E;8.3341431757008;1;2.688152793239665;female;sales;0.8611220956919672;33872.965865969105
D;8.647202093769826;2;2.045860330485289;other;services;0.13159010909701052;33568.509604390245
D;7.109010048976932;2;3.0456721474207886;male;sales;0.7622507910934649;36900.760883268624
C;14.192406424254344;4;3.389699740295841;male;management;0.8404181506734631;71994.19732740337
A;4.413733452179329;3;3.0351961138174874;female;sales;0.9702412418673283;43111.69566261098
D;3.7326125390388647;1;3.425643543322382;female;services;0.5614888962146083;27263.948107243352
E;8.808588292819488;2;2.62593382462364;male;HR;0.1775390986387495;32959.76561825145
F;4.252343667036902;2;2.85483574251463;female;services;0.7721264580955967;30327.829766231793
A;9.309117235141914;2;2.916801617866314;female;services;0.1953137697940276;42342.92621669164
B;6.416548833642047;3;3.3688871250968155;male;HR;0.038023939826610786;38876.40256677223
G;8.6415013726825;2;4.0;male;HR;0.24990274193322015;35678.72082324444
E;6.525028657010893;4;3.3070969029210096;female;management;0.3412706309534813;58790.916414473344
G;2.272666004846611;2;2.997474712777047;female;HR;0.15258702825804693;30098.464166406582
F;11.578633561851966;1;3.0514506125861254;other;management;0.9587304817533121;52980.94120703087
E;6.109279175643403;1;2.9596408119536246;female;services;0.08679484629788825;31185.30267530431
C;12.12319785540231;3;3.413037084941222;male;technician;0.06393370908601903;49299.24386015655
C;9.428783604344414;2;3.17242800564794;male;sales;0.007825016710344301;40580.78257567329
C;7.912402309803346;2;3.6665870966187097;male;technician;0.11869324232551992;39335.77703945616
A;5.18709014403552;5;2.61337934484283;female;technician;0.2140299895058475;53649.11596835446
B;14.515935115085115;3;3.449295044945962;male;technician;0.645757348307337;50558.422752640254
C;11.935791512681558;1;2.8274122704010933;male;HR;0.8997993909813509;36091.76887451643
F;7.921651450691191;1;2.6650341962793402;male;technician;0.2510722126426187;34858.05553396606
C;16.69261079202693;5;2.568076294003003;male;management;0.028243144043800128;75894.57724070153
C;7.978499746309884;4;3.419657585723913;male;services;0.9309748959360492;39693.266086860705
A;5.167119202920894;5;2.645280507273937;female;HR;0.6499226248377068;50895.804165590554
B;8.970299158594383;5;3.4858971485741987;female;HR;0.32895276599325163;47685.21456406167
E;9.051102315268786;4;2.747684578998749;male;HR;0.6060822086388622;42218.76641048726
C;12.906383962151116;5;2.8111663754437917;male;HR;0.3296951443691679;48365.40768126009
G;8.376503305300762;3;2.9740931934628443;male;management;0.9919323913787538;58244.497080298126
B;12.275740696610324;1;3.1277675723124174;male;management;0.2112214955845858;54595.855809256536
B;7.5199434368687434;3;3.171347772438645;female;services;0.18173390052380456;35888.39140933403
G;5.658451049910859;5;3.426254092054605;female;services;0.04375892066537079;39907.42645158636
B;11.75953134641344;3;3.072888103685814;male;sales;0.0958895512521648;48622.91753059163
D;7.7902479023156355;3;2.9778830361964435;male;management;0.5494271234310991;55735.42632627596
A;8.360791648828949;4;2.5430545795442177;male;services;0.845227365923799;49829.40846069106
B;9.698184533675466;5;2.0997462523691404;male;services;0.0377360945127887;43997.91711559362
E;8.13130442498985;3;3.296921716561883;female;services;0.38350722403520976;38442.93980336275
F;9.93866636277093;2;2.428065175277222;female;sales;0.28061140315804955;39882.90397819259
A;11.350701792964715;2;2.9418233370497053;male;management;0.04620111935122384;68081.50924032993
E;7.697075571155995;2;2.532984926094672;female;services;0.2822586519828728;32674.118949264775
C;7.1919467497332334;4;2.3140895964329258;female;sales;0.7153177948151945;42436.04041180767
A;12.26666327280356;4;3.2984476871170934;male;services;0.698414298680448;57631.57558583724
A;14.26234980762601;2;2.627052468191804;female;technician;0.21148586672434488;52072.502320458196
A;10.803435567807579;3;2.9077197620264132;female;services;0.3875599151974848;49408.392149207655
A;11.979910663952785;5;3.6151189522468132;female;services;0.03966869482560853;56932.43618316154
E;4.8798920910176005;3;2.5716107637402428;female;management;0.8347168768815058;50684.88738143032
G;8.015376018624435;3;2.3543183642263292;female;technician;0.24812567239980565;40990.52602232833
D;11.814373888988516;2;3.1016535563630305;female;HR;0.5298331762970496;37248.50369424593
B;14.361743431509751;4;2.963698591186511;other;services;0.624409153943603;66903.24014168925
G;6.931872262944237;5;2.881157743344203;female;management;0.4854737044763644;63627.55552709852
G;11.885444875348806;3;2.46438272204135;male;technician;0.05937212974332462;46146.187176761465
D;4.171703609202673;3;3.0699419004420747;female;services;0.7240149921380495;36055.27022136383
G;2.330167939456472;4;3.1348545824278995;female;HR;0.4629213020408286;39173.83543537578
F;8.434929319800077;1;3.0274146276912237;male;technician;0.15382666704426295;34100.98173042573
B;6.7036638837302664;1;3.4819337143423175;male;technician;0.08132298024898788;34513.44677930882
G;10.449609646382052;5;3.06816496439877;male;services;0.9430815810382236;46904.16335748564
D;8.6820707550976;2;2.679982653628671;male;HR;0.6802888435639798;37677.603153944445
C;14.098886978436877;1;2.0602318419540615;other;HR;0.9052986888056629;35452.85920740978
D;13.47072388138586;1;1.8694644536051495;male;sales;0.44497860046194626;39721.07972463722
E;9.546044611883048;4;3.0812686947547188;female;services;0.5388222023469612;42346.25018737615
B;10.933650948133767;3;3.211675187428331;male;technician;0.810485887152779;48209.60847971974
B;5.33742363233946;2;2.549382755960659;female;services;0.46288113877285475;29978.209680836808
F;13.32917564877073;1;2.678354550692635;male;sales;0.3703968948560743;38329.04259351754
G;15.879115246329258;1;2.902144526451076;other;technician;0.11992749318962215;44067.88588548503
D;10.588054217145;5;3.1848278599573674;male;HR;0.8079626239287956;47443.20548264798
C;4.922385665264617;3;3.0977823147521812;female;HR;0.8313893954693947;38026.82904451478
C;7.67167845290038;5;3.6071581059902766;male;management;0.052037741074562494;68211.94470125242
G;4.4200635519056295;1;3.4439941429423464;female;services;0.030500206863474544;29086.757162589336
D;10.51866947786521;4;2.5581400347995897;male;management;0.4942688109846889;63724.359078312096
A;8.721549209859655;2;3.3515482546270468;female;services;0.2088982580565878;45564.14657211448
B;9.20845410653786;1;2.012621015914398;male;technician;0.5350491838336483;34439.34176432681
D;10.119996160356255;4;2.2190934393838053;other;HR;0.38974994511860983;41885.76183830712
F;10.449485015987621;3;2.1480388548699647;male;technician;0.6390001966394547;41732.10707331461
B;9.390778949446661;5;3.1115144237901253;male;HR;0.4393906478006214;47474.29388368552
B;6.96539701813103;3;2.319266910625754;male;sales;0.6328890935547627;41534.29207646757
E;3.0542323801250877;1;3.2563117798635037;female;services;0.7493672068824997;27078.123112090787
F;6.2812843667232245;5;2.6875042365480244;male;sales;0.2945270324864191;45935.89901301437
F;3.3464706535795994;5;2.823857272298756;female;HR;0.374328975319392;39076.861079451795
A;8.896547901361654;3;2.90241244642735;other;HR;0.05783161398551939;48026.78555968228
G;11.344388275742315;3;3.3874315176542016;other;services;0.6373345712759382;43396.621972130706
F;9.883698690660124;3;2.542104031681336;male;services;0.24521845713256774;38872.11908786446
A;7.136923235643815;3;3.2380243938224416;female;sales;0.5091157623747029;48780.61099942815
D;7.540132309211241;2;3.7603064210140253;male;technician;0.5158565562838238;36516.23639273217
B;13.369796028124767;5;3.495071935762505;other;sales;0.500966760096326;76653.63303177453
E;7.31395120508089;2;4.0;male;management;0.08028705326483465;56153.554629516184
C;11.102546227515454;1;2.5835741672005126;male;services;0.4927482753107846;34081.41312581316
C;6.829099842591006;5;2.0454523116119696;female;services;0.15869326280247498;40307.92168892188
C;7.832129734020777;1;2.878801546364579;female;HR;0.31000015575117623;30810.43740700813
G;11.526319554366982;5;2.4655908107619773;male;technician;0.4923713966872394;52279.173264744444
G;3.7029468433533754;5;3.6129367773275125;female;sales;0.3362657464646309;48890.184857142835
E;9.828081809772183;3;2.880392534087801;female;sales;0.9482532441078829;41473.639995548816
A;9.19189312476827;4;3.3507734359050576;male;HR;0.8365098134015716;56276.87919802776
A;11.405718393828478;4;3.4267397939353548;male;HR;0.7666013672395575;57890.12944843043
D;9.344174577327435;4;3.000187713849677;male;HR;0.844596252726055;41790.743571080275
F;6.741809495758082;1;3.6384080784971;female;sales;0.5989598258491664;35379.53038456021
C;10.261254584732656;5;2.834881990154514;male;management;0.02531545379068212;67729.08033566283
C;7.015804524426487;1;2.982949754105366;female;services;0.584444334615008;33543.55600048591
E;9.194447458731794;4;2.842392906423449;male;management;0.01775854145484068;61377.01570185724
G;6.653186747957726;3;3.3393076824352383;male;HR;0.7507800501672888;35194.96827229608
F;11.557786222997281;3;2.3920135504360305;male;sales;0.4049232238603574;41760.38632238916
F;6.340725708356933;4;2.3061409617695405;male;management;0.42175227269223625;57249.98131569164
A;3.564822183530776;1;3.7758570791290853;female;services;0.8959549077168129;37844.787175266196
D;8.719959910944917;3;2.5190121770227023;female;services;0.4903348624041788;35802.12856617193
C;12.064465872652997;4;2.541563833282534;other;services;0.9210270294360804;44031.61960538776
E;9.322260946125297;4;3.0238562467028003;female;management;0.5913163773895396;61714.27873985148
E;6.8393002073170095;1;2.8700193203377475;female;services;0.5082165179154103;30864.60983043322
G;5.324958822137617;4;3.2213194259563904;male;management;0.6464014296624507;55537.616253410284
G;6.734558338877504;4;3.221535725621029;female;services;0.04849720026406035;41443.29800163134
F;6.44732661457204;1;2.9464197473258693;male;technician;0.25819156137443533;34686.99863544741
C;10.279330309463411;5;3.010550159949547;female;sales;0.48471203145215525;49058.19831883451
C;15.490029946294703;5;2.3910161161816608;male;HR;0.06293461444306536;51782.23363569162
F;7.31488959871654;4;3.2400721505101924;female;sales;0.6570948802569605;42301.65138809037
B;7.938587569406497;5;2.911524465093362;female;sales;0.9857838864884642;46727.737741704404
F;3.8649263365522835;5;3.170137034147018;other;HR;0.2690552503438318;42109.38251002526
D;9.206042974830485;3;2.1542447014295063;male;sales;0.008621989267905028;40960.7016489841
G;12.1933673494057;3;3.2962674724673002;male;HR;0.772063907539163;43702.26742489358
F;8.506641821941773;3;3.2007788292067874;male;services;0.9742983658647877;38710.16224589283
D;6.199660331686152;4;2.724775846008219;female;services;0.1947454976278259;37684.73569597478
B;5.30109653368115;3;3.095302028646701;female;services;0.1790495612995734;33081.649746168354
C;11.800093443186798;4;2.5854171567420043;other;services;0.008187781477756673;43915.11004836038
B;9.103625068449086;5;2.9459570253429903;male;management;0.008790791375649643;66980.96275762885
F;8.836793919341934;5;3.0840200984136543;female;HR;0.006210233875543203;45733.82766190818
A;8.109191490124008;2;3.3137253625136225;male;technician;0.9326156362370749;47788.79214158769
A;10.633218195285504;3;2.1835615996723283;male;technician;0.270814557074575;48774.848052425725
A;7.571591054115869;1;2.8696425171692166;female;services;0.8455356922144994;38038.48790554122
G;8.67782172457305;4;3.93978520207632;male;services;0.6274341427142164;42585.533026367404
F;6.149296442813927;2;3.7714572846372993;female;technician;0.9249552817011794;36629.20972180991
G;6.295158040877919;1;2.9503411429233948;female;technician;0.4026233401638811;35670.35274630309
D;11.983428252425638;3;3.150245606935243;male;management;0.7651429854031351;63700.87746263771
E;10.030232286482494;1;2.977817516069356;female;sales;0.7787465990468022;36405.83256484459
A;6.289911494639188;3;3.600629023160871;female;sales;0.21867967127648624;48985.61765427923
B;10.686558052058308;5;3.1876521140300413;male;HR;0.049179597406768805;47292.58221898746
A;9.250759050332528;4;3.348469789274782;male;sales;0.44391520133987594;55447.10266385235
D;8.080578859562989;1;2.946370510389848;male;management;0.5954219692648307;48397.357247998065
C;7.045225616696777;2;2.3991617060080355;male;services;0.9424077199858443;33237.7036581429
C;9.608893519455663;5;2.2483675726028025;male;HR;0.713079736167522;46150.16265838228
A;4.673145457926614;3;3.0108365175812484;female;technician;0.6393772653689831;43699.714513302606
B;8.683140546150948;2;3.734805859900679;female;HR;0.4041897894926135;39181.18794537333
A;9.447455849469566;2;2.174174750293668;male;management;0.17461444836040996;62298.91570692399
F;11.901683391056974;3;3.54910693758871;female;services;0.025355467351852456;44001.49442063547
B;6.605930025196958;2;2.9131195721811625;female;services;0.5047207542093245;35846.66360706621
A;8.490571442341432;4;3.1187708904694533;male;technician;0.24188797731985745;53079.49435416143
F;8.777817321133458;3;2.767862978241105;male;sales;0.4029214047609996;44409.03326691807
A;0.0;3;3.4994722442813266;female;sales;0.08108065614830229;39530.05782990609
D;13.286778568572078;4;3.120328082291085;other;HR;0.6114947152042468;47970.564197312575
F;9.104297169642075;2;2.470104950701876;male;sales;0.7206401078514278;38060.01159137088
G;5.6554793304965;1;3.1795042895156547;male;services;0.8525545903956551;28734.534804306917
E;10.222494548446427;2;3.059372297822813;other;HR;0.6794007221542335;36390.88894794151
D;6.939729784877658;3;2.0844285916719527;other;management;0.8087550673532763;51145.55202758067
C;7.126731778762469;4;2.0631749035612845;female;HR;0.3632052424163872;40846.962729868006
G;6.78850150545782;1;3.2718312580311686;female;sales;0.7609641901274756;32971.651092174885
D;3.0435851718596503;3;2.440768028134989;female;HR;0.7133790251948203;34783.609883604695
E;11.351733640840578;5;2.4382457431414424;male;technician;0.5698945100481537;49943.38246913311
E;8.273115175921163;1;3.544345514042967;other;technician;0.24423529620008055;35676.9411037027
E;6.8895080763453596;1;2.7962239882958753;male;sales;0.5252664251752374;31401.080348986132
B;10.353368831850624;1;4.0;male;management;0.8627335085026272;52516.90700321543
G;4.231059900858674;2;3.302285552838964;female;sales;0.0793334380517896;38048.49116350885
F;8.34427628867915;4;3.3038330832325173;female;services;0.9557612952408118;39728.49392156506
C;6.111866894553996;1;3.833207883493536;female;sales;0.45047490406122936;36206.72196122027
C;12.828452893837866;1;3.2298632596496355;female;HR;0.4238104301537754;38231.968210459345
C;3.009378498538668;5;3.0234039495478604;female;services;0.6902027673700277;39739.05840543592
